replication,seed,common_cause_transition_factor,status,objective_value,first_asset,max_failure_probability_at_maintenance
43,20260901,0.773420797768475,OPTIMAL,150156.36520246195,104,0.4733669157910766
44,20260901,1.2318768434422542,OPTIMAL,207980.3854360938,104,0.6506112329410542
45,20260901,0.8873578902275038,OPTIMAL,164551.16218859397,104,0.5213036419227723
46,20260901,1.0564229875330415,OPTIMAL,185928.8755231663,104,0.5876960960291856
47,20260901,0.8356923065997826,OPTIMAL,158018.28391075344,104,0.49988500811029435
48,20260901,1.3121776724701548,OPTIMAL,217981.57026715553,104,0.6773720618329324
49,20260901,0.55,OPTIMAL,121914.22307978652,104,0.37190282
50,20260901,1.1655579468061772,OPTIMAL,199672.0746438827,104,0.6275470302515591
51,20260901,0.8402928912916667,OPTIMAL,158599.7287580806,104,0.5018136828629268
52,20260901,0.8815182318558441,OPTIMAL,163812.48695170373,104,0.5189092379851299
53,20260901,1.3861054542047453,OPTIMAL,227120.12704931945,104,0.7008798858866131
54,20260901,0.78876273154169,OPTIMAL,152091.65906586364,104,0.4799715237852619
55,20260901,1.2475485542222151,OPTIMAL,209937.70105881453,104,0.6559342477351437
56,20260901,0.7930858481364191,OPTIMAL,152637.21323807273,104,0.48182417971532
57,20260901,1.2659091057689171,OPTIMAL,212227.60963019845,104,0.6621086673255228
58,20260901,1.1438358107299866,OPTIMAL,196942.81554625905,104,0.6198031730786828
59,20260901,1.0760351072705254,OPTIMAL,188403.6832444445,104,0.5950313898692545
60,20260901,1.00551845018688,OPTIMAL,179498.04870764812,104,0.5683013748810886
61,20260901,1.1738716988749884,OPTIMAL,200715.68420001064,104,0.6304861212126044
62,20260901,1.2541837152808728,OPTIMAL,210765.64181491837,104,0.6581732725491355
63,20260901,0.9987919299215512,OPTIMAL,178647.656409081,104,0.5657001680515097
64,20260901,1.2518871372262275,OPTIMAL,210479.12484747692,104,0.6573992825889535
65,20260901,0.7267217073541363,OPTIMAL,144274.22530451705,104,0.45297632360753115
66,20260901,0.8003356488940695,OPTIMAL,153552.30089905285,104,0.4849227466058026
67,20260901,1.0569980978031492,OPTIMAL,186001.47270013095,104,0.5879122820978946
68,20260901,1.775890269216328,OPTIMAL,273788.24188734405,104,0.8069252258040227
69,20260901,0.8569999388870165,OPTIMAL,160711.77182757613,104,0.5087824212420514
70,20260901,0.9951443087921963,OPTIMAL,178186.46232366268,104,0.5642858521781147
71,20260901,0.8219286161477061,OPTIMAL,156279.1857485816,104,0.49408990968263033
72,20260901,0.6443782825645661,OPTIMAL,133944.1159420356,104,0.41596977007586566
73,20260901,1.0994482801862535,OPTIMAL,191355.57387096516,104,0.6036885868366832
74,20260901,0.9082360561820119,OPTIMAL,167192.4360089196,104,0.529808962869077
75,20260901,1.1071259003087215,OPTIMAL,192322.8822232446,104,0.6065038054180661
76,20260901,0.7074612363377486,OPTIMAL,141852.67418779567,104,0.444440660768888
77,20260901,1.0026840126991146,OPTIMAL,179139.7227725162,104,0.5672063645212662
78,20260901,1.0646091488031373,OPTIMAL,186962.08859122387,104,0.5907671339833064
79,20260901,0.55,OPTIMAL,121914.22307978652,104,0.37190282
80,20260901,1.260562875783625,OPTIMAL,211561.20272276757,104,0.6603176886915512
81,20260901,0.9878860373442658,OPTIMAL,177268.65620954888,104,0.5614637161963395
82,20260901,0.9948409064724077,OPTIMAL,178148.09961355297,104,0.5641680933080255
83,20260901,0.9313372808108102,OPTIMAL,170115.25547440653,104,0.5391192963461268
84,20260901,0.8520268564550831,OPTIMAL,160083.01325137564,104,0.5067138593571104
85,20260901,1.0815029850537865,OPTIMAL,189093.32630475948,104,0.5970628961335173
86,20260901,0.6379141699929316,OPTIMAL,133135.9502101754,104,0.41300783603673935
87,20260901,1.0807387778963036,OPTIMAL,188996.94897262822,104,0.5967793226442926
88,20260901,1.0547673277467284,OPTIMAL,185719.8705618788,104,0.5870733616531683
89,20260901,0.9842461974165797,OPTIMAL,176808.35655369703,104,0.5600445578939436
90,20260901,1.1109518019535194,OPTIMAL,192804.7779699983,104,0.6079023229380857
91,20260901,1.4405361584257235,OPTIMAL,233799.7057714193,104,0.7174960573397118
92,20260901,1.0390696889930824,OPTIMAL,183737.68040675356,104,0.5811421166527233
93,20260901,0.6967758860215373,OPTIMAL,140510.5267737693,104,0.43967354570870393
94,20260901,0.7464198053829517,OPTIMAL,146753.62904052425,104,0.4616299314883512
95,20260901,0.8029500540026042,OPTIMAL,153882.35721260816,104,0.4860375901480132
96,20260901,0.6993958997090226,OPTIMAL,140839.52844543543,104,0.44084451973328553
97,20260901,0.7039533155452711,OPTIMAL,141411.95241893345,104,0.4428781458721869
98,20260901,0.6994003292907415,OPTIMAL,140840.0847284366,104,0.4408464983140946
99,20260901,1.3694128820151275,OPTIMAL,225063.0587607481,104,0.6956665367212581
100,20260901,1.372051685236058,OPTIMAL,225388.50279341568,104,0.6964943485047269
101,20260901,0.7896905686944369,OPTIMAL,152208.73936720737,104,0.48036945700755795
102,20260901,1.0831297425219442,OPTIMAL,189298.47325249537,104,0.5976661500081597
103,20260901,1.0340095409449008,OPTIMAL,183098.51168794968,104,0.5792197723918282
104,20260901,1.5441109662529862,OPTIMAL,246379.28329127302,104,0.7474938515994419
105,20260901,0.6437999435472821,OPTIMAL,133871.79169840258,104,0.41570510529227866
106,20260901,0.9794157709336792,OPTIMAL,176197.4527566326,104,0.558157142999306
107,20260901,0.809596211555256,OPTIMAL,154721.53933197138,104,0.4888655721786137
108,20260901,0.9439512417470142,OPTIMAL,171711.18959755157,104,0.5441584025312779
109,20260901,0.9240697534224657,OPTIMAL,169195.7412957245,104,0.5362017087358975
110,20260901,0.7623245501166874,OPTIMAL,148757.45107918239,104,0.4685609970379044
111,20260901,1.1860342696781787,OPTIMAL,202241.41303429066,104,0.6347611893461729
112,20260901,1.2370675765644366,OPTIMAL,208628.9547113324,104,0.6523796923377468
113,20260901,0.6222065597782558,OPTIMAL,131174.05342296726,104,0.40577593097006015
114,20260901,1.3678768798315364,OPTIMAL,224873.57934363405,104,0.6951840466089587
115,20260901,1.3317781553624255,OPTIMAL,220411.40414989792,104,0.6837101478053742
116,20260901,1.7691981268121952,OPTIMAL,273013.05908547115,104,0.8053584426464531
117,20260901,1.1150106658720484,OPTIMAL,193315.91806237065,104,0.609382827991368
118,20260901,1.4177337440091549,OPTIMAL,231006.83834765278,104,0.7106065400658331
119,20260901,0.9535573099462118,OPTIMAL,172926.49889530972,104,0.5479747582993022
120,20260901,0.8850521857479838,OPTIMAL,164259.50096514865,104,0.5203590531656012
121,20260901,1.4441854599018311,OPTIMAL,234245.93250944995,104,0.7185890970253941
122,20260901,0.9125996896942107,OPTIMAL,167744.52016423977,104,0.5315757064174889
123,20260901,0.8810191143034141,OPTIMAL,163749.35454272607,104,0.5187042741635761
124,20260901,1.0506531159911163,OPTIMAL,185200.45480549362,104,0.5855235545309144
125,20260901,1.0395247962306153,OPTIMAL,183795.16216946972,104,0.5813147627806409
126,20260901,0.8802033723209486,OPTIMAL,163646.17378820313,104,0.5183691815390946
127,20260901,1.2774388582345433,OPTIMAL,213663.73133319058,104,0.665951847021456
128,20260901,1.0754223389493258,OPTIMAL,188326.3875552635,104,0.5948033561865053
129,20260901,1.1893895402375307,OPTIMAL,202662.09499252358,104,0.6359353898634753
130,20260901,1.2759726201250179,OPTIMAL,213481.18131004332,104,0.6654645712975249
131,20260901,1.3477712643773538,OPTIMAL,222390.43504299386,104,0.6888253655903811
132,20260901,0.9494985650322219,OPTIMAL,172413.01676408036,104,0.5463645057612296
133,20260901,1.4022889300461834,OPTIMAL,229110.6914163362,104,0.705881546517563
134,20260901,1.8644094559802553,OPTIMAL,283942.1494161787,104,0.8268149415805092
135,20260901,1.1243096287626186,OPTIMAL,194486.55908493546,104,0.6127624024518565
136,20260901,0.9283003746543291,OPTIMAL,169731.01537109612,104,0.5379013865442213
137,20260901,0.5863519807999021,OPTIMAL,126642.54534869172,104,0.3890851213940414
138,20260901,0.6031202737086093,OPTIMAL,128794.01004618878,104,0.39692269165293587
139,20260901,1.0075758374981836,OPTIMAL,179758.1272892712,104,0.5690951956510447
140,20260901,0.7818050088020488,OPTIMAL,151213.8294473228,104,0.4769820440336525
141,20260901,1.1464728182330821,OPTIMAL,197274.32743880758,104,0.6207482400606821
142,20260901,1.3384823413383815,OPTIMAL,221241.4001564085,104,0.6858605742025297
